Page URL,Page type,Primary intent,Priority,Search volume,Has OG image,OG image path,Has Twitter image,Hero image path,Hero decorative,Hero alt text,Fix applied,Remaining recommendation
https://ultratextgen.com/ascii-art-generator/,platform,platform,Highest,,yes,/assets/og/ascii-art-generator.png,yes,/assets/hero/ascii-art-generator.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/ascii-converter/,platform,platform,Highest,,yes,/assets/og/ascii-converter.png,yes,/assets/hero/ascii-converter.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/character-counter/,platform,platform,Highest,,yes,/assets/og/character-counter.png,yes,,n/a,,OG triple completed,
https://ultratextgen.com/curved-text/,platform,platform,Highest,,yes,/assets/og/curved-text.png,yes,/assets/hero/curved-text.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/discord/,platform,platform,Highest,,yes,/assets/og/discord.png,yes,/assets/hero/discord.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/embed/,platform,platform,Highest,,yes,/assets/og/embed.png,yes,/assets/hero/embed.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/events/,platform,platform,Highest,,yes,/assets/og/events.png,yes,/assets/hero/events.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/facebook/,platform,platform,Highest,,yes,/assets/og/facebook.png,yes,/assets/hero/facebook.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/hiragana-chart/,platform,platform,Highest,,yes,/assets/og/hiragana-chart.png,yes,/assets/hero/hiragana-chart.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/,homepage,homepage,Highest,,yes,/assets/og/fancy-text-generator-preview.png,yes,/assets/hero/fancy-text-generator-preview.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/instagram/,platform,platform,Highest,,yes,/assets/og/instagram.png,yes,/assets/hero/instagram.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/kaomoji-dictionary/,platform,platform,Highest,,yes,/assets/og/kaomoji-dictionary.png,yes,/assets/hero/kaomoji-dictionary.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/kaomoji-generator/,platform,platform,Highest,,yes,/assets/og/kaomoji-generator.png,yes,/assets/hero/kaomoji-generator.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/katakana-chart/,platform,platform,Highest,,yes,/assets/og/katakana-chart.png,yes,/assets/hero/katakana-chart.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/learn/,platform,platform,Highest,,yes,/assets/og/learn-hub.png,yes,,n/a,,OG triple completed,
https://ultratextgen.com/linkedin/,platform,platform,Highest,,yes,/assets/og/linkedin.png,yes,/assets/hero/linkedin.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/pinterest/,platform,platform,Highest,,yes,/assets/og/pinterest.png,yes,/assets/hero/pinterest.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/printables/,platform,platform,Highest,,yes,/assets/og/printables.png,yes,/assets/hero/printables.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/roblox/,platform,platform,Highest,,yes,/assets/og/roblox.png,yes,/assets/hero/roblox.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/snapchat/,platform,platform,Highest,,yes,/assets/og/snapchat.png,yes,/assets/hero/snapchat.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/symbol/,platform,platform,Highest,,yes,/assets/og/symbol.png,yes,,n/a,,OG present,
https://ultratextgen.com/telegram/,platform,platform,Highest,,yes,/assets/og/telegram.png,yes,/assets/hero/telegram.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/threads/,platform,platform,Highest,,yes,/assets/og/threads.png,yes,/assets/hero/threads.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/tiktok/,platform,platform,Highest,,yes,/assets/og/tiktok.png,yes,/assets/hero/tiktok.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/updates/,platform,platform,Highest,,yes,/assets/og/updates.png,yes,/assets/hero/updates.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/whatsapp/,platform,platform,Highest,,yes,/assets/og/whatsapp.png,yes,/assets/hero/whatsapp.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/x/,platform,platform,Highest,,yes,/assets/og/x.png,yes,/assets/hero/x.svg,yes,,OG triple completed; hero set decorative,
https://ultratextgen.com/youtube/,platform,platform,Highest,,yes,/assets/og/youtube.png,yes,/assets/hero/youtube.svg,yes,,OG triple completed; hero set decorative,
